广东频道,#genre#
CCTV-10,http://60.12.183.46:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://210.22.75.86:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://113.195.162.70:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://123.129.70.178:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://222.188.160.183:4022/rtp/239.49.1.11:6000$720x576
CCTV-11,http://180.125.160.198:8001/rtp/239.49.1.11:6000$720x576
CCTV-11,http://180.117.245.212:4022/rtp/239.49.1.11:6000$720x576
CCTV-11,http://49.67.13.188:8888/rtp/239.49.1.11:6000$720x576
CCTV-11,http://49.73.82.104:8887/rtp/239.49.1.11:6000$720x576
CCTV-11,http://49.75.18.13:8888/rtp/239.49.1.11:6000$720x576
CCTV-11,http://58.208.3.182:8888/rtp/239.49.1.11:6000$720x576
CCTV-11,http://49.89.110.20:15/rtp/239.49.1.11:6000$720x576
CCTV-11,http://121.230.183.28:8888/rtp/239.49.1.11:6000$720x576
CCTV-11,http://114.238.59.5:4000/rtp/239.49.1.11:6000$720x576
CCTV-11,http://121.235.15.21:4022/rtp/239.49.1.11:6000$720x576
CCTV-11,http://222.71.95.178:9901/tsfile/live/0001_11.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://60.12.183.46:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11,http://113.195.162.70:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://121.235.15.21:4022/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://49.89.110.20:15/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://121.230.183.28:8888/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://180.125.160.198:8001/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://180.117.245.212:4022/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://49.67.13.188:8888/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://58.208.3.182:8888/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://49.75.18.13:8888/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://114.238.59.5:4000/rtp/239.49.8.135:6000$1920x1080
CCTV-12,http://222.71.95.178:9901/tsfile/live/0001_12.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://60.12.183.46:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12,http://210.22.75.86:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://113.195.162.70:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://123.129.70.178:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://60.12.183.46:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://222.71.95.178:9901/tsfile/live/0001_13.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://210.22.75.86:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://113.195.162.70:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://58.19.38.162:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://220.179.68.222:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://218.3.138.25:1111/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://123.129.70.178:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://59.173.243.210:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://117.27.190.42:9998/tsfile/live/23244_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://218.87.237.106:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://58.48.5.186:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://121.19.134.125:808/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://183.185.218.119:9999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://121.235.15.21:4022/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://117.86.120.211:8888/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://49.67.13.188:8888/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://180.117.245.212:4022/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://49.75.18.13:8888/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://121.230.183.28:8888/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://58.208.3.182:8888/rtp/239.49.8.136:6000$1920x1080
CCTV-14,http://222.71.95.178:9901/tsfile/live/0001_14.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://60.12.183.46:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://210.22.75.86:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://113.195.162.70:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://123.129.70.178:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://117.27.190.42:9998/tsfile/live/23245_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://220.179.68.222:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://180.125.160.198:8001/rtp/239.49.1.15:6000$720x576
CCTV-15,http://222.188.188.173:8888/rtp/239.49.1.15:6000$720x576
CCTV-15,http://222.188.160.183:4022/rtp/239.49.1.15:6000$720x576
CCTV-15,http://180.117.245.212:4022/rtp/239.49.1.15:6000$720x576
CCTV-15,http://49.67.13.188:8888/rtp/239.49.1.15:6000$720x576
CCTV-15,http://49.73.82.104:8887/rtp/239.49.1.15:6000$720x576
CCTV-15,http://49.75.18.13:8888/rtp/239.49.1.15:6000$720x576
CCTV-15,http://58.208.3.182:8888/rtp/239.49.1.15:6000$720x576
CCTV-15,http://49.89.110.20:15/rtp/239.49.1.15:6000$720x576
